variant,repetition,paired_median_percent,pairs,axis,metric,context
node16,0,-9.523809523809524,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node16,1,-8.22072072072072,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node16,2,-7.8947368421052655,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node256,0,3.703703703703698,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node256,1,3.703703703703698,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node256,2,3.7749287749287763,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node4,0,0.0,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node4,1,0.0,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node4,2,0.0,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node48,0,-3.4482758620689613,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node48,1,-3.703703703703709,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
node48,2,-3.731551099972158,480,node_type,op_lookup_p50_ns,YCSB-C lookup p50
memory_layout_aos_strict,0,0.0,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_aos_strict,1,0.0,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_aos_strict,2,0.0,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_aosoa,0,8.778938705014717,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_aosoa,1,8.49343308572431,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_aosoa,2,11.373079489450832,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_cache_line_aligned,0,7.888193951064382,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_cache_line_aligned,1,8.281896446478543,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_cache_line_aligned,2,8.97579204754232,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_packed_bitmap,0,-3.019221276990475,768,memory_layout,ns_per_op,YCSB A/C
memory_layout_packed_bitmap,1,-2.78933688139702,768,memory_layout,ns_per_op,YCSB A/C
